"","concentration","date"
"1",315.42,1959-01-01 00:00:00
"2",316.31,1959-01-31 10:00:01
"3",316.5,1959-03-02 20:00:01
"4",317.56,1959-04-02 06:00:01
"5",318.13,1959-05-02 16:00:01
"6",318,1959-06-02 02:00:01
"7",316.39,1959-07-02 12:00:01
"8",314.65,1959-08-01 22:00:01
"9",313.68,1959-09-01 08:00:01
"10",313.18,1959-10-01 18:00:01
"11",314.66,1959-11-01 04:00:01
"12",315.43,1959-12-01 14:00:01
"13",316.27,1960-01-01 00:00:01
"14",316.81,1960-01-31 12:00:01
"15",317.42,1960-03-02 00:00:01
"16",318.87,1960-04-01 12:00:01
"17",319.87,1960-05-02 00:00:01
"18",319.43,1960-06-01 12:00:01
"19",318.01,1960-07-02 00:00:01
"20",315.74,1960-08-01 12:00:01
"21",314,1960-09-01 00:00:01
"22",313.68,1960-10-01 12:00:01
"23",314.84,1960-11-01 00:00:01
"24",316.03,1960-12-01 12:00:01
"25",316.73,1961-01-01 00:00:01
"26",317.54,1961-01-31 10:00:01
"27",318.38,1961-03-02 20:00:01
"28",319.31,1961-04-02 06:00:01
"29",320.42,1961-05-02 16:00:01
"30",319.61,1961-06-02 02:00:01
"31",318.42,1961-07-02 12:00:01
"32",316.63,1961-08-01 22:00:01
"33",314.83,1961-09-01 08:00:01
"34",315.16,1961-10-01 18:00:01
"35",315.94,1961-11-01 04:00:01
"36",316.85,1961-12-01 14:00:01
"37",317.78,1962-01-01 00:00:01
"38",318.4,1962-01-31 10:00:01
"39",319.53,1962-03-02 20:00:01
"40",320.42,1962-04-02 06:00:01
"41",320.85,1962-05-02 16:00:01
"42",320.45,1962-06-02 02:00:01
"43",319.45,1962-07-02 12:00:01
"44",317.25,1962-08-01 22:00:01
"45",316.11,1962-09-01 08:00:01
"46",315.27,1962-10-01 18:00:01
"47",316.53,1962-11-01 04:00:01
"48",317.53,1962-12-01 14:00:01
"49",318.58,1963-01-01 00:00:01
"50",318.92,1963-01-31 10:00:01
"51",319.7,1963-03-02 20:00:01
"52",321.22,1963-04-02 06:00:01
"53",322.08,1963-05-02 16:00:01
"54",321.31,1963-06-02 02:00:01
"55",319.58,1963-07-02 12:00:01
"56",317.61,1963-08-01 22:00:01
"57",316.05,1963-09-01 08:00:01
"58",315.83,1963-10-01 18:00:01
"59",316.91,1963-11-01 04:00:01
"60",318.2,1963-12-01 14:00:01
"61",319.41,1964-01-01 00:00:01
"62",320.07,1964-01-31 12:00:01
"63",320.74,1964-03-02 00:00:01
"64",321.4,1964-04-01 12:00:01
"65",322.06,1964-05-02 00:00:01
"66",321.73,1964-06-01 12:00:01
"67",320.27,1964-07-02 00:00:01
"68",318.54,1964-08-01 12:00:01
"69",316.54,1964-09-01 00:00:01
"70",316.71,1964-10-01 12:00:01
"71",317.53,1964-11-01 00:00:01
"72",318.55,1964-12-01 12:00:01
"73",319.27,1965-01-01 00:00:01
"74",320.28,1965-01-31 10:00:01
"75",320.73,1965-03-02 20:00:01
"76",321.97,1965-04-02 06:00:01
"77",322,1965-05-02 16:00:01
"78",321.71,1965-06-02 02:00:01
"79",321.05,1965-07-02 12:00:01
"80",318.71,1965-08-01 22:00:01
"81",317.66,1965-09-01 08:00:01
"82",317.14,1965-10-01 18:00:01
"83",318.7,1965-11-01 04:00:01
"84",319.25,1965-12-01 14:00:01
"85",320.46,1966-01-01 00:00:01
"86",321.43,1966-01-31 10:00:01
"87",322.23,1966-03-02 20:00:01
"88",323.54,1966-04-02 06:00:01
"89",323.91,1966-05-02 16:00:01
"90",323.59,1966-06-02 02:00:01
"91",322.24,1966-07-02 12:00:01
"92",320.2,1966-08-01 22:00:01
"93",318.48,1966-09-01 08:00:01
"94",317.94,1966-10-01 18:00:01
"95",319.63,1966-11-01 04:00:01
"96",320.87,1966-12-01 14:00:01
"97",322.17,1967-01-01 00:00:01
"98",322.34,1967-01-31 10:00:01
"99",322.88,1967-03-02 20:00:01
"100",324.25,1967-04-02 06:00:01
"101",324.83,1967-05-02 16:00:01
"102",323.93,1967-06-02 02:00:01
"103",322.38,1967-07-02 12:00:01
"104",320.76,1967-08-01 22:00:01
"105",319.1,1967-09-01 08:00:01
"106",319.24,1967-10-01 18:00:01
"107",320.56,1967-11-01 04:00:01
"108",321.8,1967-12-01 14:00:01
"109",322.4,1968-01-01 00:00:01
"110",322.99,1968-01-31 12:00:01
"111",323.73,1968-03-02 00:00:01
"112",324.86,1968-04-01 12:00:01
"113",325.4,1968-05-02 00:00:01
"114",325.2,1968-06-01 12:00:01
"115",323.98,1968-07-02 00:00:01
"116",321.95,1968-08-01 12:00:01
"117",320.18,1968-09-01 00:00:01
"118",320.09,1968-10-01 12:00:01
"119",321.16,1968-11-01 00:00:01
"120",322.74,1968-12-01 12:00:01
"121",323.83,1969-01-01 00:00:01
"122",324.26,1969-01-31 10:00:01
"123",325.47,1969-03-02 20:00:01
"124",326.5,1969-04-02 06:00:01
"125",327.21,1969-05-02 16:00:01
"126",326.54,1969-06-02 02:00:01
"127",325.72,1969-07-02 12:00:01
"128",323.5,1969-08-01 22:00:01
"129",322.22,1969-09-01 08:00:01
"130",321.62,1969-10-01 18:00:01
"131",322.69,1969-11-01 04:00:01
"132",323.95,1969-12-01 14:00:01
"133",324.89,1970-01-01 00:00:00
"134",325.82,1970-01-31 10:00:00
"135",326.77,1970-03-02 20:00:00
"136",327.97,1970-04-02 06:00:00
"137",327.91,1970-05-02 16:00:00
"138",327.5,1970-06-02 02:00:00
"139",326.18,1970-07-02 12:00:00
"140",324.53,1970-08-01 22:00:00
"141",322.93,1970-09-01 08:00:00
"142",322.9,1970-10-01 18:00:00
"143",323.85,1970-11-01 04:00:00
"144",324.96,1970-12-01 14:00:00
"145",326.01,1971-01-01 00:00:00
"146",326.51,1971-01-31 10:00:00
"147",327.01,1971-03-02 20:00:00
"148",327.62,1971-04-02 06:00:00
"149",328.76,1971-05-02 16:00:00
"150",328.4,1971-06-02 02:00:00
"151",327.2,1971-07-02 12:00:00
"152",325.27,1971-08-01 22:00:00
"153",323.2,1971-09-01 08:00:00
"154",323.4,1971-10-01 18:00:00
"155",324.63,1971-11-01 04:00:00
"156",325.85,1971-12-01 14:00:00
"157",326.6,1972-01-01 00:00:00
"158",327.47,1972-01-31 12:00:00
"159",327.58,1972-03-02 00:00:00
"160",329.56,1972-04-01 12:00:00
"161",329.9,1972-05-02 00:00:00
"162",328.92,1972-06-01 12:00:00
"163",327.88,1972-07-02 00:00:00
"164",326.16,1972-08-01 12:00:00
"165",324.68,1972-09-01 00:00:00
"166",325.04,1972-10-01 12:00:00
"167",326.34,1972-11-01 00:00:00
"168",327.39,1972-12-01 12:00:00
"169",328.37,1973-01-01 00:00:00
"170",329.4,1973-01-31 10:00:00
"171",330.14,1973-03-02 20:00:00
"172",331.33,1973-04-02 06:00:00
"173",332.31,1973-05-02 16:00:00
"174",331.9,1973-06-02 02:00:00
"175",330.7,1973-07-02 12:00:00
"176",329.15,1973-08-01 22:00:00
"177",327.35,1973-09-01 08:00:00
"178",327.02,1973-10-01 18:00:00
"179",327.99,1973-11-01 04:00:00
"180",328.48,1973-12-01 14:00:00
"181",329.18,1974-01-01 00:00:00
"182",330.55,1974-01-31 10:00:00
"183",331.32,1974-03-02 20:00:00
"184",332.48,1974-04-02 06:00:00
"185",332.92,1974-05-02 16:00:00
"186",332.08,1974-06-02 02:00:00
"187",331.01,1974-07-02 12:00:00
"188",329.23,1974-08-01 22:00:00
"189",327.27,1974-09-01 08:00:00
"190",327.21,1974-10-01 18:00:00
"191",328.29,1974-11-01 04:00:00
"192",329.41,1974-12-01 14:00:00
"193",330.23,1975-01-01 00:00:00
"194",331.25,1975-01-31 10:00:00
"195",331.87,1975-03-02 20:00:00
"196",333.14,1975-04-02 06:00:00
"197",333.8,1975-05-02 16:00:00
"198",333.43,1975-06-02 02:00:00
"199",331.73,1975-07-02 12:00:00
"200",329.9,1975-08-01 22:00:00
"201",328.4,1975-09-01 08:00:00
"202",328.17,1975-10-01 18:00:00
"203",329.32,1975-11-01 04:00:00
"204",330.59,1975-12-01 14:00:00
"205",331.58,1976-01-01 00:00:00
"206",332.39,1976-01-31 12:00:00
"207",333.33,1976-03-02 00:00:00
"208",334.41,1976-04-01 12:00:00
"209",334.71,1976-05-02 00:00:00
"210",334.17,1976-06-01 12:00:00
"211",332.89,1976-07-02 00:00:00
"212",330.77,1976-08-01 12:00:00
"213",329.14,1976-09-01 00:00:00
"214",328.78,1976-10-01 12:00:00
"215",330.14,1976-11-01 00:00:00
"216",331.52,1976-12-01 12:00:00
"217",332.75,1977-01-01 00:00:00
"218",333.24,1977-01-31 10:00:00
"219",334.53,1977-03-02 20:00:00
"220",335.9,1977-04-02 06:00:00
"221",336.57,1977-05-02 16:00:00
"222",336.1,1977-06-02 02:00:00
"223",334.76,1977-07-02 12:00:00
