country,year,infant_mortality,life_expectancy,fertility,population,gdp,continent,region
Albania,1960,115.4,62.87,6.19,1636054,NA,Europe,Southern Europe
Algeria,1960,148.2,47.5,7.65,11124892,13828152297,Africa,Northern Africa
Angola,1960,208,35.98,7.32,5270844,NA,Africa,Middle Africa
Antigua and Barbuda,1960,NA,62.97,4.43,54681,NA,Americas,Caribbean
Argentina,1960,59.87,65.39,3.11,20619075,108322326649,Americas,South America
Armenia,1960,NA,66.86,4.55,1867396,NA,Asia,Western Asia
Aruba,1960,NA,65.66,4.82,54208,NA,Americas,Caribbean
Australia,1960,20.3,70.87,3.45,10292328,96677859364,Oceania,Australia and New Zealand
Austria,1960,37.3,68.75,2.7,7065525,52392699681,Europe,Western Europe
Azerbaijan,1960,NA,61.33,5.57,3897889,NA,Asia,Western Asia
Bahamas,1960,51,62,4.5,109526,1306269490,Americas,Caribbean
Bahrain,1960,134.5,51.64,7.09,162501,NA,Asia,Western Asia
Bangladesh,1960,176.3,46.2,6.73,48200702,12767231590,Asia,Southern Asia
Barbados,1960,69.5,61.8,4.33,230934,784120376,Americas,Caribbean
Belarus,1960,NA,71.59,2.74,8190027,NA,Europe,Eastern Europe
Belgium,1960,29.5,69.59,2.6,9140563,68236665814,Europe,Western Europe
Belize,1960,NA,60.08,6.5,92068,86532304,Americas,Central America
Benin,1960,186.9,38.29,6.28,2431620,621797131,Africa,Western Africa
Bhutan,1960,175,35.94,6.67,224108,NA,Asia,Southern Asia
Bolivia,1960,173.4,43.77,6.7,3693451,3001815692,Americas,South America
Bosnia and Herzegovina,1960,105,62.56,4.05,3214520,NA,Europe,Southern Europe
Botswana,1960,115.5,50.34,6.62,524029,124460933,Africa,Southern Africa
Brazil,1960,129.4,55.27,6.21,72493585,105343379555,Americas,South America
Brunei,1960,63,62.52,6.49,81825,NA,Asia,South-Eastern Asia
Bulgaria,1960,49,69.22,2.25,7866472,NA,Europe,Eastern Europe
Burkina Faso,1960,161.3,35.21,6.29,4829291,596612183,Africa,Western Africa
Burundi,1960,145.1,40.58,6.95,2786740,341126765,Africa,Eastern Africa
Cambodia,1960,NA,42.29,6.97,5722370,NA,Asia,South-Eastern Asia
Cameroon,1960,166.9,43.46,5.65,5361367,2537944080,Africa,Middle Africa
Canada,1960,27.8,71,3.91,17909232,167894860728,Americas,Northern America
Cape Verde,1960,NA,50.12,6.89,202316,NA,Africa,Western Africa
Central African Republic,1960,165.5,37.43,5.84,1503501,534982718,Africa,Middle Africa
Chad,1960,NA,40.95,6.25,3002596,750173439,Africa,Middle Africa
Chile,1960,127.6,56.85,5.58,7695692,14087170195,Americas,South America
China,1960,190,30.53,3.99,644450173,70348527260,Asia,Eastern Asia
Colombia,1960,89.3,58.03,6.81,16480384,19017657851,Americas,South America
Comoros,1960,200,44.04,6.79,188732,NA,Africa,Eastern Africa
"Congo, Dem. Rep.",1960,174,43.9,6,15248246,4992962083,Africa,Middle Africa
"Congo, Rep.",1960,110.6,48.25,5.88,1013581,626127041,Africa,Middle Africa
Costa Rica,1960,86.54,61.97,7.31,1333042,2398494445,Americas,Central America
Cote d'Ivoire,1960,208.4,38,7.35,3474724,2003623491,Africa,Western Africa
Croatia,1960,70,64.85,2.33,4192634,NA,Europe,Southern Europe
Cuba,1960,37,63.85,4.18,7141129,NA,Americas,Caribbean
Cyprus,1960,30,69.72,3.5,572929,NA,Asia,Western Asia
Czech Republic,1960,22,70.58,2.3,9578587,NA,Europe,Eastern Europe
Denmark,1960,21.3,72.28,2.54,4580708,52164745342,Europe,Northern Europe
Djibouti,1960,NA,45.77,6.46,83636,NA,Africa,Eastern Africa
Dominican Republic,1960,102.1,53.37,7.56,3294039,3019307866,Americas,Caribbean
Ecuador,1960,121.4,54.09,6.69,4545548,3641530019,Americas,South America
Egypt,1960,209.6,48.31,6.63,27072397,12008501551,Africa,Northern Africa
El Salvador,1960,126.2,52.02,6.73,2762897,4017741905,Americas,Central America
Equatorial Guinea,1960,NA,37.69,5.51,252115,NA,Africa,Middle Africa
Eritrea,1960,NA,39.03,6.9,1407631,NA,Africa,Eastern Africa
Estonia,1960,40,69.42,1.95,1216831,NA,Europe,Northern Europe
Ethiopia,1960,162,37.72,6.88,22151218,NA,Africa,Eastern Africa
Fiji,1960,54,55.7,6.46,393383,437079701,Oceania,Melanesia
Finland,1960,21.9,69.03,2.71,4430228,32363088296,Europe,Northern Europe
France,1960,23.7,70.49,2.77,45865699,349778187326,Europe,Western Europe
French Polynesia,1960,NA,56.28,5.66,78083,NA,Oceania,Polynesia
Gabon,1960,NA,38.83,4.38,499189,887289809,Africa,Middle Africa
Gambia,1960,148.4,35.7,5.57,367929,NA,Africa,Western Africa
Georgia,1960,NA,63.5,2.96,4159769,NA,Asia,Western Asia
Germany,1960,34,69.26,2.41,73179665,NA,Europe,Western Europe
Ghana,1960,125.1,46.34,6.75,6652285,1902005320,Africa,Western Africa
Greece,1960,48.3,68.41,2.22,8311386,28208389534,Europe,Southern Europe
Greenland,1960,NA,61.49,7.25,31238,NA,Americas,Northern America
Grenada,1960,NA,60.59,6.74,89861,NA,Americas,Caribbean
Guatemala,1960,146,46.51,6.53,4127555,3989089865,Americas,Central America
Guinea,1960,NA,35.71,6.1,3577413,NA,Africa,Western Africa
Guinea-Bissau,1960,NA,43.14,5.83,616407,NA,Africa,Western Africa
Guyana,1960,67.7,59.08,5.67,564222,385886207,Americas,South America
Haiti,1960,194.8,42.1,6.32,3866160,NA,Americas,Caribbean
Honduras,1960,140.9,47.71,7.46,2002333,1502038539,Americas,Central America
"Hong Kong, China",1960,NA,67.45,5.16,3075752,NA,Asia,Eastern Asia
Hungary,1960,53.4,68.13,2.05,10001270,10486859064,Europe,Eastern Europe
Iceland,1960,17.5,74.22,4.13,175520,1775037087,Europe,Northern Europe
